City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sakakah,0,SA,1616150084,23,29.9697,40.2064,71.6,5.75
Yerbogachën,100,RU,1616149864,92,61.2767,108.0108,19.8,9.84
Bengkulu,93,ID,1616149753,80,-3.8004,102.2655,81.39,5.48
Lompoc,75,US,1616149734,93,34.6391,-120.4579,51.8,4.61
Tommot,92,RU,1616149838,89,58.9564,126.2925,15.53,3.96
Upernavik,90,GL,1616149781,82,72.7868,-56.1549,-0.42,5.53
Mogadishu,20,SO,1616149920,58,2.0371,45.3438,86,13.8
Cidreira,45,BR,1616149782,77,-30.1811,-50.2056,70.23,6.76
College,90,US,1616149741,78,64.8569,-147.8028,3,1.57
Kapaa,90,US,1616149736,73,22.0752,-159.319,70,21.85
Qaanaaq,100,GL,1616149767,79,77.484,-69.3632,-10.26,5.39
São José da Coroa Grande,41,BR,1616149790,74,-8.8978,-35.1478,80.01,6.22
Cabo San Lucas,0,MX,1616149815,55,22.8909,-109.9124,57,3.94
Fortuna,20,US,1616149801,100,40.5982,-124.1573,42.01,6.91
Ketchikan,90,US,1616149823,100,55.3422,-131.6461,33.8,3.44
Hong Kong,40,HK,1616149672,80,22.2855,114.1577,77,1.01
Kavaratti,79,IN,1616149772,67,10.5669,72.642,84.11,8.23
Mataura,37,NZ,1616149730,93,-46.1927,168.8643,54,1.99
Puri,100,IN,1616149870,34,19.8,85.85,96.8,11.5
Micheweni,91,TZ,1616150089,58,-4.9667,39.8333,87.08,5.46
Lüderitz,30,NA,1616149760,47,-26.6481,15.1594,75.31,18.66
Jamestown,1,US,1616149745,58,42.097,-79.2353,25,15.88
Hobart,20,AU,1616149752,72,-42.8794,147.3294,62.01,8.05
Barrow,90,US,1616149772,71,71.2906,-156.7887,-2.2,3.44
Colesberg,0,ZA,1616150090,13,-30.72,25.0972,85.66,19.98
Longyearbyen,75,SJ,1616149810,93,78.2186,15.6401,28.4,4.61
Bluff,64,NZ,1616149763,93,-46.6,168.3333,54,1.99
Dunedin,67,NZ,1616149727,70,-45.8742,170.5036,55.99,3
Rincón de la Victoria,20,ES,1616150091,72,36.7172,-4.2758,61,10.36
Saint-Philippe,20,RE,1616149759,70,-21.3585,55.7679,84.2,27.63
Hermanus,99,ZA,1616149744,63,-34.4187,19.2345,69.01,4
Sitka,90,US,1616149771,80,57.0531,-135.33,33.8,9.22
Santa Fe,56,AR,1616150092,78,-31.6333,-60.7,61,3
Cockburn Town,17,TC,1616150025,77,21.4612,-71.1419,74.91,15.95
Tiksi,100,RU,1616149906,96,71.6872,128.8694,-3.55,3.76
Bethel,1,US,1616149738,43,41.3712,-73.414,30.99,9.22
Port Alfred,99,ZA,1616149744,69,-33.5906,26.891,72.05,17.09
Guipavas,75,FR,1616150094,81,48.4352,-4.3972,51.8,18.41
Coquimbo,20,CL,1616149762,76,-29.9533,-71.3436,55.4,4.61
Bambous Virieux,40,MU,1616149817,62,-20.3428,57.7575,86,12.66
Touros,40,BR,1616149749,88,-5.1989,-35.4608,77,3.44
Murbād,5,IN,1616150095,38,19.25,73.4,91.4,10.36
Dikson,0,RU,1616149739,92,73.5069,80.5464,-29.42,8.66
Ushuaia,75,AR,1616149732,66,-54.8,-68.3,46.4,5.75
Vallenar,100,CL,1616150096,90,-28.5708,-70.7581,59.29,4.27
Butaritari,7,KI,1616149747,78,3.0707,172.7902,81.5,8.55
Puerto Ayora,87,EC,1616149742,95,-0.7393,-90.3518,73.99,4.54
Port Macquarie,75,AU,1616149526,100,-31.4333,152.9167,66.2,5.75
Alekseyevsk,100,RU,1616150098,91,57.8406,108.3492,22.44,8.21
Lázaro Cárdenas,0,MX,1616149882,76,17.9583,-102.2,69.67,4.99
Dudinka,82,RU,1616150098,94,69.4058,86.1778,-19.79,6.55
Gizo Government Station,87,SB,1616149831,70,-8.103,156.8419,83.44,4.68
San Quintín,0,MX,1616149809,89,30.4833,-115.95,54.72,9.69
Juegang,100,CN,1616150099,96,32.3174,121.1855,51.01,1.01
Udachny,69,RU,1616150099,94,66.4167,112.4,-17.36,4.97
Yangi Marg`ilon,100,UZ,1616150099,25,40.4272,71.7189,62.6,4.61
Wilmington,1,US,1616150095,67,34.2257,-77.9447,60.01,9.22
Popondetta,78,PG,1616150100,90,-8.7537,148.2534,76.33,2.28
Dingle,48,PH,1616149974,77,10.9995,122.6711,80.11,6.55
Mossamedes,65,AO,1616150101,66,-15.1961,12.1522,78.06,9.33
Châlette-sur-Loing,81,FR,1616150101,90,48.0134,2.7359,44.01,4
Lebu,0,CL,1616149780,89,-37.6167,-73.65,51.76,3.78
Puerto Ayacucho,92,VE,1616150102,77,5.6639,-67.6236,73.47,5.03
Bathsheba,40,BB,1616149848,69,13.2167,-59.5167,75.2,14.97
Taoudenni,0,ML,1616150033,7,22.6783,-3.9836,90.59,13.04
Avarua,75,CK,1616149754,89,-21.2078,-159.775,78.8,5.75
Isangel,20,VU,1616149799,83,-19.55,169.2667,77,13
Nikolskoye,75,RU,1616149780,63,59.7035,30.7861,23,6.71
Mar del Plata,0,AR,1616149741,93,-38.0023,-57.5575,55,8.55
Charlestown,100,AU,1616149805,89,-32.95,151.6667,73,1.01
Cayenne,100,GF,1616149835,94,4.9333,-52.3333,78.01,1.14
Aswān,0,EG,1616150104,8,24.0934,32.907,90.09,13.2
Kruisfontein,29,ZA,1616149750,68,-34.0033,24.7314,72,4
Rock Sound,0,BS,1616149778,82,24.9,-76.2,73.72,16.22
Onguday,2,RU,1616150104,63,50.75,86.15,29.91,1.68
Hualmay,99,PE,1616149894,84,-11.0964,-77.6139,68.54,5.97
Zheleznodorozhnyy,75,RU,1616150105,55,55.7503,38.0042,35.6,11.18
Chui,3,UY,1616149807,73,-33.6971,-53.4616,59.27,3.85
Tuktoyaktuk,99,CA,1616149773,100,69.4541,-133.0374,-16.49,9.55
Kieta,92,PG,1616149928,78,-6.2167,155.6333,80.55,3.15
St. George's,40,GD,1616150106,88,12.0564,-61.7485,75.2,10.36
Kadoma,0,JP,1616150002,31,34.7333,135.5833,62.6,12.66
Mahébourg,40,MU,1616149751,62,-20.4081,57.7,86,12.66
Vestmannaeyjar,90,IS,1616149886,93,63.4427,-20.2734,46.4,21.85
Katsuura,71,JP,1616149787,70,35.1333,140.3,55.99,3
Saint George,20,US,1616149754,57,37.1041,-113.5841,50,3.44
George Town,40,MY,1616149773,45,5.4112,100.3354,89.01,10.36
Mikhaylovka,100,RU,1616150108,77,50.06,43.2379,36,11.01
Adrar,0,MR,1616149947,8,20.5022,-10.0711,83.8,8.63
Le Port,20,RE,1616150109,62,-20.9373,55.2919,86,23.02
Husavik,75,IS,1616149931,58,66.0449,-17.3389,51.8,21.85
Port Blair,0,IN,1616149537,56,11.6667,92.75,86.16,3.71
Camacha,75,PT,1616149729,59,33.0833,-16.3333,60.8,14.97
Hilo,90,US,1616149737,88,19.7297,-155.09,66.2,3.44
Gaomi,0,CN,1616150110,50,36.3833,119.7528,50,6.71
Pregradnoye,98,RU,1616150110,66,45.8218,41.7469,49.33,18.92
Mattawa,99,US,1616150110,67,46.7379,-119.9028,39,17
Muroto-misakicho,75,JP,1616149748,59,33.2833,134.15,60.8,3.44
Bridlington,100,GB,1616150111,90,54.0831,-0.1919,46,5.99
Gazimurskiy Zavod,99,RU,1616150111,88,51.5461,118.3266,18.59,1.23
Moree,19,AU,1616150111,56,-29.4667,149.85,73.4,9.22
Ribeira Grande,40,PT,1616149747,88,38.5167,-28.7,60.8,11.5
Topchikha,0,RU,1616150112,50,52.8192,83.1185,28.4,4.47
Bireun,39,ID,1616150112,70,5.203,96.7009,83.16,3.62
Nishihara,40,JP,1616149801,83,26.1842,127.7558,73.4,5.75
Mount Isa,75,AU,1616149820,31,-20.7333,139.5,89.6,5.75
Vao,98,NC,1616149850,78,-22.6667,167.4833,76.35,22.26
East London,20,ZA,1616149741,64,-33.0153,27.9116,73.4,19.57
Mwinilunga,100,ZM,1616150113,71,-11.7358,24.4293,75.45,0.67
Bredasdorp,100,ZA,1616149791,46,-34.5322,20.0403,71.6,8.05
Thompson,1,CA,1616149733,74,55.7435,-97.8558,26.6,2.3
Morant Bay,20,JM,1616150113,83,17.8815,-76.4093,75.2,8.05
Paamiut,100,GL,1616149811,62,61.994,-49.6678,22.96,16.96
Eyl,42,SO,1616150114,56,7.9803,49.8164,85.44,15.41
Ürümqi,17,CN,1616149892,60,43.801,87.6005,35.6,6.71
Aripuanã,100,BR,1616150115,97,-9.1667,-60.6333,70.9,1.9
Emerald,75,AU,1616150115,78,-23.5333,148.1667,78.8,4.61
Lavrentiya,39,RU,1616149769,93,65.5833,-171,-15.92,3.06
Ancud,72,CL,1616149755,93,-41.8697,-73.8203,46.99,3.11
Apopka,10,US,1616150115,92,28.6806,-81.5095,63,3
Makakilo City,20,US,1616149964,68,21.3469,-158.0858,71.6,4.61
Hobyo,30,SO,1616150116,64,5.3505,48.5268,85.82,17.13
Chunoyar,100,RU,1616150116,89,57.4467,97.3217,24.13,9.4
Kaputa,38,ZM,1616150116,75,-8.4689,29.6619,77.86,2.44
Gornozavodsk,97,RU,1616150117,93,58.3758,58.3211,32.11,6.73
San Patricio,1,US,1616149971,57,28.017,-97.5169,53.6,5.75
Smithers,20,CA,1616150117,100,54.7804,-127.1743,30.2,3.44
Esperance,0,AU,1616149760,53,-33.8667,121.9,75.2,13.8
Ruteng,93,ID,1616150117,91,-8.6136,120.4721,64.98,2.13
Dolores,1,AR,1616150118,69,-36.3132,-57.6792,53.76,2.33
New Norfolk,0,AU,1616149762,61,-42.7826,147.0587,62.01,1.01
Byron Bay,75,AU,1616149779,88,-28.65,153.6167,73.4,4.61
Tambacounda,14,SN,1616150118,65,13.7539,-13.7586,78.8,6.91
Yelkhovka,75,RU,1616150119,80,53.8667,50.2832,32,15.66
Hasaki,75,JP,1616149544,66,35.7333,140.8333,53.6,6.91
Encheng,40,CN,1616150120,74,22.1839,112.3026,76.42,7.67
Bima,97,ID,1616150120,90,-8.4667,118.7167,79.2,2.21
Arraial do Cabo,0,BR,1616149748,94,-22.9661,-42.0278,75.2,4.61
Roald,75,NO,1616149987,75,62.5833,6.1333,43,8.05
Wanning,86,CN,1616150121,84,18.8003,110.3967,76.12,5.32
Half Moon Bay,90,US,1616149815,93,37.4636,-122.4286,53.6,4.61
Nabire,100,ID,1616150122,85,-3.3667,135.4833,79,1.3
Haines Junction,100,CA,1616149933,67,60.7522,-137.5108,12.2,16.11
Bandarbeyla,0,SO,1616149880,59,9.4942,50.8122,81.9,11.59
Tevaitoa,14,PF,1616150123,72,-16.7833,-151.5,81.46,5.84
Ternate,100,ID,1616149756,78,0.8,127.4,81.81,7.4
Suntar,100,RU,1616150123,92,62.1444,117.6319,21.13,7.65
Kapit,94,MY,1616149846,84,2.0167,112.9333,79.38,3.53
Bayan,64,CN,1616150124,59,46.0833,127.4,33.22,4.79
Sili,94,CN,1616150124,92,28.4,117.1667,62.29,4.36
Hithadhoo,97,MV,1616149779,72,-0.6,73.0833,82.83,13.53
Shingū,40,JP,1616149655,72,33.7333,135.9833,57.2,2.3
Cherskiy,0,RU,1616149746,100,68.75,161.3,-27.99,3.6
Maceió,40,BR,1616149777,88,-9.6658,-35.7353,77,3.44
Shenjiamen,100,CN,1616150125,97,29.9576,122.298,53.62,3.67
Bilma,46,NE,1616149761,9,18.6853,12.9164,96.51,9.35
Vaini,75,TO,1616149774,94,-21.2,-175.2,77,3.44
Skjervøy,75,NO,1616149836,55,70.0311,20.9714,35.6,6.91
Santa Cruz de la Sierra,75,BO,1616149941,78,-17.8,-63.1667,71.6,5.75
Biu,62,NG,1616150127,19,10.6129,12.1946,95.49,6.87
Yeppoon,90,AU,1616150127,78,-23.1333,150.7333,77,4.61
Domna,40,RU,1616150127,68,51.8971,113.1573,26.6,11.18
Piaçabuçu,31,BR,1616149965,67,-10.4056,-36.4344,82.38,8.63
Porbandar,20,IN,1616150128,48,21.6422,69.6093,87.8,11.5
Carnduff,0,CA,1616150128,81,49.1667,-101.8009,32.94,9.35
Trairi,54,BR,1616150128,80,-3.2778,-39.2689,80.1,6.85
Muzhi,100,RU,1616150128,95,65.3667,64.6667,2.14,10.36
Haimen,30,CN,1616150129,65,23.1935,116.6142,77,6.71
Santa Catarina de Tepehuanes,0,MX,1616150129,46,25.35,-105.7333,41.49,2.13
Varhaug,0,NO,1616150130,61,58.6147,5.6457,45,11.5
Geraldton,1,AU,1616149795,22,-28.7667,114.6,89.6,16.11
San-Pédro,100,CI,1616150130,62,4.7485,-6.6363,85.68,5.23
Port Hardy,90,CA,1616149733,87,50.6996,-127.4199,46.4,10.36
Galle,100,LK,1616149707,69,6.0367,80.217,82.33,1.66
Sigulda,59,LV,1616150131,62,57.1519,24.8647,28.99,8.01
Chaihe,54,CN,1616150131,74,44.7667,129.7,29.19,3.78
Yulara,100,AU,1616149938,24,-25.2406,130.9889,80.6,9.22
Lima,0,PE,1616150079,83,-12.0432,-77.0282,69.8,5.75
Portland,75,US,1616149979,61,45.5234,-122.6762,48.2,8.05
Khatanga,100,RU,1616149803,97,71.9667,102.5,-25.56,6.85
Bilibino,85,RU,1616150013,74,68.0546,166.4372,-18.29,1.86
Ratne,90,UA,1616150132,69,51.6683,24.5303,33.8,4.47
Comodoro Rivadavia,0,AR,1616149772,36,-45.8667,-67.5,59,18.41
Kahului,8,US,1616149844,68,20.8947,-156.47,73.4,14.34
Patterson,90,US,1616150133,94,37.4716,-121.1297,54,4.61
Kiryat Gat,14,IL,1616149999,52,31.61,34.7642,66,1.99
Chimoio,75,MZ,1616150134,48,-19.1164,33.4833,84.2,6.91
Grindavik,90,IS,1616149808,100,63.8424,-22.4338,46.4,27.63
Lipany,61,SK,1616150134,49,49.1538,20.9638,33.01,55.01
Bayangol,85,RU,1616150134,86,50.6977,103.4656,16,3.94
Pevek,64,RU,1616149840,87,69.7008,170.3133,-20.67,1.52
Olafsvik,100,IS,1616149747,95,64.8945,-23.7142,40.66,9.01
Partizanskoye,94,RU,1616150135,82,55.5006,94.39,23.05,10.27
Namatanai,74,PG,1616149813,75,-3.6667,152.4333,81.28,7.61
Iranduba,75,BR,1616150136,94,-3.2847,-60.1861,75.2,2.3
Krasnosel'kup,100,RU,1616149853,93,65.7,82.4667,7.68,11.72
Ponta Delgada,40,PT,1616149751,77,37.7333,-25.6667,59,10.36
Yuancheng,54,CN,1616150136,61,36.652,107.7896,37.63,11.7
Korla,34,CN,1616149843,60,41.7597,86.1469,42.4,10.02
Salinas,90,US,1616149813,94,36.6777,-121.6555,57.2,5.75
Vershino-Darasunskiy,97,RU,1616150137,91,52.35,115.5167,13.66,2.39
Ahipara,6,NZ,1616149852,83,-35.1667,173.1667,57.79,8.05
Ramnagar,66,IN,1616150138,8,29.4,79.1167,92.25,10.09
Burns Lake,80,CA,1616150138,100,54.2331,-125.7533,26.6,1.14
Gornopravdinsk,100,RU,1616150139,86,60.05,69.9,30.76,5.82
Manoel Urbano,94,BR,1616150037,99,-8.8389,-69.2597,71.01,0.74
Timbiquí,100,CO,1616150139,87,2.7717,-77.6654,74.55,1.19
Hayvoron,100,UA,1616150140,78,48.3396,29.8679,38.16,6.8
Eureka,22,US,1616150140,95,40.8021,-124.1637,42.01,9.37
Pangnirtung,0,CA,1616149782,68,66.1451,-65.7125,-15.88,3.56
Coyhaique,56,CL,1616149794,97,-45.5752,-72.0662,42.33,7.27
Nelson Bay,90,AU,1616149869,94,-32.7167,152.15,69.8,17.27
Georgiyevka,0,KZ,1616150141,30,43.0369,74.7114,68,17.9
Gijang,0,KR,1616149846,47,35.2442,129.2139,55.4,14.97
Provideniya,0,RU,1616149751,93,64.3833,-173.3,-9.58,8.57
Severo-Kuril'sk,97,RU,1616149732,93,50.6789,156.125,29.77,12.35
Kavieng,49,PG,1616149751,75,-2.5744,150.7967,83.37,9.01
Lárdos,40,GR,1616150142,59,36.0942,28.0157,62.6,8.05
Narsaq,41,GL,1616149779,49,60.9167,-46.05,21.2,9.22
Shizunai-furukawachō,66,JP,1616150042,77,42.3339,142.3669,34.05,15.57
Rabaul,86,PG,1616150143,71,-4.1967,152.1721,82.29,1.5
Columbus,20,US,1616150143,51,39.9612,-82.9988,34,16.11
Sokoto,8,NG,1616150143,11,13.0609,5.239,100.04,9.06
Yumen,0,CN,1616149811,12,40.2833,97.2,39.72,18.14
Srednekolymsk,8,RU,1616149768,97,67.45,153.6833,-26.37,3.06
Mbini,40,GQ,1616149983,70,1.574,9.6134,86,6.91
Killybegs,75,IE,1616149959,100,54.6333,-8.45,46.4,6.91
Vila Franca do Campo,40,PT,1616149755,77,37.7167,-25.4333,59,10.36
Megion,0,RU,1616150144,44,61.0296,76.1136,35.6,15.66
Lagoa,82,PT,1616149806,79,39.05,-27.9833,59.05,15.73
Iqaluit,20,CA,1616149942,69,63.7506,-68.5145,-22,16.11
Souillac,40,MU,1616149753,62,-20.5167,57.5167,86,12.66
Turochak,18,RU,1616150145,91,52.2576,87.1224,31.98,2.19
Tiarei,75,PF,1616150145,78,-17.5333,-149.3333,80.6,5.75
Matara,100,LK,1616150146,72,5.9485,80.5353,82,4.81
Luxor,0,EG,1616150146,26,25.6989,32.6421,80.6,11.5
Mezen',50,RU,1616150146,92,65.8522,44.24,9.05,6.22
Kemijärvi,55,FI,1616150022,80,66.7131,27.4306,18.45,8.52
Port Elizabeth,20,ZA,1616149588,68,-33.918,25.5701,73.4,18.41
La Baule-Escoublac,75,FR,1616150147,66,47.2922,-2.364,53.01,16.11
Faya,20,SA,1616150032,11,18.3851,42.4509,82.4,10.36
Maniitsoq,100,GL,1616150007,79,65.4167,-52.9,21.92,18.86
Port Angeles,75,US,1616150148,93,48.1181,-123.4307,42.8,1.05
Ilulissat,99,GL,1616149848,53,69.2167,-51.1,17.6,21.85
Sinnamary,86,GF,1616149876,80,5.3833,-52.95,77.07,8.1
Mount Gambier,0,AU,1616149764,82,-37.8333,140.7667,62.6,11.5
Lerwick,75,GB,1616150149,93,60.1545,-1.1494,46.4,8.05
Richards Bay,0,ZA,1616149922,59,-28.783,32.0377,86.09,7.81
Mashhad,75,IR,1616150150,35,36.297,59.6062,69.8,18.41
Ust'-Koksa,1,RU,1616150150,80,50.2696,85.6108,26.24,1.9
Rawson,4,AR,1616149749,45,-43.3002,-65.1023,62.49,14.09
Rāzole,100,IN,1616150150,52,16.4833,81.8333,91.4,8.05
Waingapu,98,ID,1616150151,85,-9.6567,120.2641,80.58,9.66
Tai’an,97,CN,1616149857,43,36.1853,117.12,53.01,1.01
Koumac,100,NC,1616150152,81,-20.5667,164.2833,77.94,5.79
San Policarpo,18,PH,1616149943,77,12.1791,125.5072,82.08,6.4
Ngunguru,35,NZ,1616149905,84,-35.6167,174.5,60.01,1.01
Jacareacanga,100,BR,1616149939,98,-6.2222,-57.7528,71.67,1.74
Iralaya,91,HN,1616150152,79,15,-83.2333,76.86,9.89
Karpogory,100,RU,1616149788,90,64.0019,44.4451,13.95,6.64
Moose Factory,20,CA,1616150153,62,51.2585,-80.6094,14,13.8
Barcelos,0,PT,1616150154,50,41.5388,-8.6151,55,5.75
Kaitangata,57,NZ,1616149760,92,-46.2817,169.8464,48.52,5.44
Aklavik,99,CA,1616149858,77,68.2191,-135.0107,-13,5.75
Pokhara,100,NP,1616150126,11,28.2333,83.9833,85.5,8.3
Samarai,8,PG,1616150008,76,-10.6167,150.6667,83.34,8.21
Vardø,20,NO,1616149862,86,70.3705,31.1107,21.2,33.38
Pontes e Lacerda,100,BR,1616149776,98,-15.2261,-59.3353,68.9,1.77
Yar-Sale,38,RU,1616149906,93,66.8333,70.8333,-8.7,10.38
Urucará,100,BR,1616150158,98,-2.5364,-57.76,71.62,1.34
Bonoua,20,CI,1616150158,74,5.2741,-3.595,82.4,8.05
Ağdam,55,AZ,1616150159,41,39.991,46.9274,56.35,6.2
Tessalit,0,ML,1616149839,9,20.1986,1.0114,85.82,6.98
Kutum,30,SD,1616149867,10,14.2,24.6667,94.37,15.82
Antalaha,96,MG,1616150159,69,-14.9003,50.2788,85.1,11.56
Baharly,25,TM,1616150160,36,38.4362,57.4316,68.52,14.23
Sehwan,40,PK,1616150160,23,26.4279,67.863,98.6,6.91
Amapá,93,BR,1616149856,86,1,-52,72.28,3.18
Røros,0,NO,1616150160,74,62.5747,11.3842,28.4,4.61
Road Town,4,VG,1616150037,79,18.4167,-64.6167,75.99,14
Alyangula,100,AU,1616149872,79,-13.8483,136.4192,82.4,10.92
Dhārchula,87,IN,1616150160,13,29.85,80.5333,78.1,7.09
Sabzawār,40,IR,1616150161,28,36.2126,57.6819,73.4,13.8
Morondava,37,MG,1616150162,66,-20.2833,44.2833,85.84,8.28
Talcahuano,20,CL,1616149752,94,-36.7167,-73.1167,55.4,3.44
Katobu,95,ID,1616150162,90,-4.9408,122.5276,77.45,3.38
Umm Kaddadah,33,SD,1616150162,8,13.6017,26.6876,101.14,21.52
Talnakh,100,RU,1616149974,96,69.4865,88.3972,-13.81,4.83
Ratnagiri,62,IN,1616150163,45,16.9833,73.3,88.09,15.97
Chul'man,100,RU,1616150163,88,56.8479,124.9104,11.73,1.52
Hanawa,75,JP,1616150163,70,40.1836,140.7872,37.4,5.75
Francistown,40,BW,1616150163,48,-21.17,27.5079,84.2,8.05
Tornio,0,FI,1616150164,73,65.8481,24.1466,17.6,9.22
Ostrovnoy,5,RU,1616150019,81,68.0531,39.5131,12.24,7.09
Bafra,40,TR,1616150164,47,41.5678,35.9069,55.99,5.75
Nome,1,US,1616149769,76,64.5011,-165.4064,-17,5.23
Codrington,0,AU,1616149749,84,-38.2667,141.9667,64.08,10.63
Tlaltenango,0,MX,1616150165,76,19.1667,-98.3333,49.53,4.16
Kopavogur,90,IS,1616150165,87,64.1123,-21.913,46.4,19.57
Benemérito de las Américas,90,MX,1616150165,98,16.5167,-90.6439,69.21,1.83
Chapais,1,CA,1616149860,84,49.7834,-74.8492,-5.8,3.44
Nouadhibou,0,MR,1616149766,72,20.931,-17.0347,62.6,18.41
Abu Samrah,2,SY,1616150166,39,35.3029,37.1841,62.74,13.58
Boali,0,CF,1616150167,46,4.8005,18.1275,91.4,6.91
Mapiripán,99,CO,1616150167,83,2.8892,-72.1256,72.66,1.03
Alice Springs,100,AU,1616149748,41,-23.7,133.8833,75.2,9.22
Ambon City,20,ID,1616149970,74,-3.6954,128.1814,84.2,5.75
Mityana,20,UG,1616150168,65,0.4175,32.0228,82.4,13.8
Zakamensk,76,RU,1616150168,70,50.3741,103.2863,18.18,2.01
Camaná,98,PE,1616150169,86,-16.6228,-72.7111,69.1,2.39
Anadyr,0,RU,1616149734,69,64.75,177.4833,-16.01,4.47
Salalah,0,OM,1616149867,35,17.0151,54.0924,87.8,12.66
Keuruu,20,FI,1616150170,46,62.2667,24.7,26.01,6.91
Torbay,90,CA,1616149817,93,47.6666,-52.7314,37.99,27.63
Shambu,56,ET,1616150170,39,9.5667,37.1,72.52,1.99
Serebryansk,17,KZ,1616149927,51,49.6925,83.2892,32,15.66
Airai,100,TL,1616149738,95,-8.9266,125.4092,62.47,0.85
Clyde River,1,CA,1616149768,69,70.4692,-68.5914,-18.4,5.75
Durango,0,MX,1616149920,61,24.8333,-104.8333,40.05,0.78
Lata,2,PT,1616149788,52,40.1629,-8.3327,55.99,8.99
Saint Anthony,1,US,1616149948,64,45.0205,-93.218,32,3.44
Zhezkazgan,0,KZ,1616149838,69,47.8043,67.7144,35.6,17.9
Shitanjing,20,CN,1616150172,15,39.2342,106.3439,34.88,20.67
Nyuksenitsa,96,RU,1616150173,90,60.4128,44.2397,27.93,5.88
Sioux Lookout,1,CA,1616149809,50,50.1001,-91.917,28.4,5.75
Aliwal North,0,ZA,1616150173,13,-30.6937,26.7114,86.18,14.16
Te Anau,3,NZ,1616149800,95,-45.4167,167.7167,46.98,3.51
Ranfurly,42,NZ,1616150173,82,-45.1333,170.1,50,1.92
Shache,29,CN,1616149797,23,38.4167,77.2406,53.58,3.53
Chernogorsk,0,RU,1616150174,40,53.8236,91.2842,30.2,5.26
Vestmanna,98,FO,1616150174,93,62.1564,-7.1664,46.4,9.22
Aniche,4,FR,1616150174,46,50.33,3.2535,46,16.69
Poum,100,NC,1616149981,78,-20.2333,164.0167,79.93,19.33
Roebourne,31,AU,1616150175,47,-20.7833,117.1333,85.71,21.88
Tucumã,100,BR,1616150175,89,-0.1833,-50.05,75.34,3.76
Atagay,100,RU,1616150175,88,55.1033,99.3875,22.28,5.28
Saint-Joseph,20,RE,1616149997,70,-21.3667,55.6167,84.2,27.63
